school,sex,address,Medu,Fedu,Mjob,reason,traveltime,studytime,failures,higher,internet,Dalc,Walc,absences
0,0,0,2,2,3,0,1,3,0,1,1,2,2,0
0,0,0,3,3,3,3,1,3,0,1,1,1,1,4
0,0,1,4,2,4,3,1,4,0,1,1,1,1,2
0,0,1,4,4,3,2,1,2,0,1,1,1,1,2
0,0,0,4,4,3,2,1,1,0,1,0,1,2,6
0,0,0,4,4,3,3,2,3,0,1,1,1,1,0
1,1,1,3,2,2,2,2,2,0,1,1,2,2,0
0,0,1,3,4,2,0,1,1,0,1,1,1,1,4
0,0,1,4,3,3,0,1,2,0,1,1,1,2,14
0,0,1,1,2,2,3,1,2,0,1,1,1,1,0
0,0,1,2,2,0,0,4,2,0,1,0,1,1,2
1,0,1,1,2,0,0,2,2,2,1,0,1,1,2
0,0,1,4,3,3,3,1,2,0,1,1,1,1,0
1,1,1,2,2,3,2,4,3,0,1,0,2,2,0
0,0,1,3,2,2,0,1,2,0,1,0,1,1,4
0,1,1,4,4,4,1,1,2,0,1,1,2,2,0
0,0,0,3,2,2,1,2,2,0,0,1,1,1,15
1,1,0,1,1,0,2,2,1,0,1,0,3,4,6
0,1,1,3,2,2,1,1,1,0,1,1,1,1,4
1,0,0,1,1,0,0,2,1,0,0,1,2,2,3
0,0,0,1,1,0,0,3,1,3,1,0,1,5,6
0,0,1,2,2,2,1,1,2,0,1,1,1,1,0
0,1,0,3,2,3,3,2,3,0,1,1,1,1,0
1,1,1,2,1,1,2,2,2,0,1,1,1,4,2
0,1,1,4,2,1,0,2,2,0,1,1,1,1,9
0,0,1,2,1,2,3,2,2,0,1,1,1,1,10
0,0,1,1,0,2,3,2,1,1,1,1,1,1,5
1,0,1,3,1,2,0,1,1,0,1,1,1,3,0
0,0,0,2,1,2,0,2,2,0,0,1,1,2,8
0,1,1,2,3,2,1,2,1,0,1,1,1,1,0
0,1,1,4,3,4,0,2,2,0,1,1,4,4,0
0,1,1,4,4,2,3,2,2,0,1,0,1,1,4
1,0,0,1,1,0,0,2,2,1,1,1,1,1,4
0,1,0,1,1,2,0,4,2,0,0,0,1,5,0
1,0,0,1,1,0,3,2,1,0,1,1,1,2,0
1,0,1,1,1,0,0,1,3,1,0,0,1,1,6
0,0,0,1,1,0,3,2,4,0,1,0,1,1,2
1,1,0,1,2,2,0,2,2,0,1,0,1,1,0
0,1,1,3,1,3,2,1,1,3,0,1,5,5,12
1,1,0,2,2,2,0,3,1,1,1,1,1,2,0
1,1,1,3,3,3,0,2,1,0,1,1,2,4,11
0,0,1,4,2,1,1,1,3,0,1,1,1,1,0
1,0,1,4,3,4,2,2,2,0,1,1,1,1,0
1,0,0,3,3,3,3,1,2,0,1,1,1,1,4
0,1,1,3,4,3,1,1,1,0,1,1,3,2,2
1,0,0,4,4,4,0,1,2,0,1,1,3,4,1
0,1,1,4,4,4,1,1,1,0,1,1,2,2,0
0,1,0,2,2,2,2,2,1,0,0,0,1,1,0
0,0,1,3,2,0,3,1,3,0,1,1,1,2,5
0,1,1,4,3,4,0,2,1,0,1,1,1,2,0
1,0,0,4,4,4,0,2,1,0,1,1,3,5,0
1,1,1,2,3,2,1,2,2,0,1,1,1,1,4
0,0,0,1,1,0,0,4,2,0,1,0,1,1,0
1,0,1,2,3,0,0,2,1,0,1,1,1,2,0
0,1,1,4,2,2,0,1,4,0,1,1,1,1,0
0,0,0,2,1,2,3,2,2,0,0,1,1,2,12
1,0,1,4,2,4,0,2,4,0,1,1,3,1,0
0,0,1,3,3,3,1,1,2,0,1,1,1,1,8
1,0,0,0,0,0,0,2,1,0,1,1,1,1,0
1,1,1,1,1,2,1,1,2,0,1,1,2,4,4
0,1,1,3,2,2,3,1,2,0,1,1,1,2,10
0,1,1,4,3,4,0,2,4,0,1,1,1,1,6
1,1,0,2,2,2,0,2,1,0,0,0,3,5,0
0,1,1,4,3,1,3,1,4,0,1,1,1,1,2
0,0,1,2,1,0,1,2,1,0,0,1,1,1,0
1,0,1,2,3,0,0,1,1,1,0,1,1,1,0
0,1,1,2,2,2,0,1,4,0,1,1,2,4,0
0,1,1,3,3,2,0,1,2,0,1,1,1,1,0
0,1,1,4,4,4,0,1,2,0,1,1,1,2,6
1,0,0,1,1,0,2,1,2,1,1,1,1,1,9
0,0,1,1,1,0,1,2,1,0,1,0,1,4,2
0,1,0,1,2,0,1,1,2,0,1,0,1,5,6
1,1,0,1,0,0,0,3,1,1,1,0,1,1,0
0,1,1,4,4,2,3,1,1,0,1,1,3,4,2
0,0,1,3,4,2,1,1,2,0,1,1,1,1,0
0,0,0,2,2,3,3,2,4,0,1,1,1,1,6
0,1,1,0,2,2,2,1,1,0,1,1,2,4,0
1,0,0,4,4,1,3,1,2,0,1,1,2,3,0
0,1,1,3,3,3,1,1,2,0,1,1,1,2,0
0,0,1,3,3,2,1,1,3,0,1,1,1,3,2
0,1,1,2,1,3,0,4,1,0,1,1,2,5,0
1,0,0,2,2,2,2,2,2,0,1,0,1,1,0
1,0,1,2,2,2,0,1,1,1,1,1,1,4,1
1,0,1,1,1,2,3,2,2,0,1,0,1,4,8
1,0,0,2,3,2,0,2,1,0,1,1,1,3,2
1,0,0,3,3,0,0,2,1,0,1,1,2,3,4
0,1,0,2,1,2,0,2,1,0,1,0,1,3,2
0,1,1,3,3,2,1,2,1,0,1,1,1,1,6
0,0,1,4,3,1,3,1,2,0,1,1,1,2,0
1,0,0,1,1,2,0,2,1,1,1,1,1,2,4
0,0,1,4,4,3,3,1,3,0,1,1,1,2,10
1,0,0,2,3,2,0,3,2,0,1,1,1,2,2
0,0,0,3,2,3,3,1,2,1,0,1,4,3,0
0,0,1,1,1,2,0,1,2,0,1,1,1,2,0
0,0,1,4,4,1,3,2,2,0,1,1,2,3,2
0,1,1,2,2,3,0,1,1,0,1,1,1,1,0
1,0,1,2,2,3,0,1,1,0,1,0,1,2,0
0,0,1,2,1,3,0,2,2,0,1,1,1,2,2
1,0,0,2,1,0,1,2,1,0,0,0,1,1,0
0,1,1,4,2,1,3,1,2,0,1,1,1,3,4
1,0,1,1,1,0,2,1,2,0,1,1,1,2,2
0,0,1,3,3,2,0,2,1,0,1,1,1,1,4
1,0,1,2,2,3,0,2,3,0,1,1,1,4,0
0,0,1,3,2,2,3,1,2,0,1,1,1,2,8
1,1,0,3,2,3,0,2,1,0,1,1,2,3,2
0,1,1,3,4,3,1,1,2,0,1,1,1,3,6
0,0,1,1,1,2,1,2,3,0,1,1,1,2,0
0,0,1,2,4,0,3,2,2,0,1,1,1,1,6
0,0,1,4,4,2,3,1,1,0,1,1,1,2,4
1,0,1,3,2,0,1,2,1,0,1,0,2,2,5
1,0,1,2,2,2,1,1,3,0,1,1,1,1,0
1,0,1,3,3,2,3,1,1,0,0,1,1,1,0
1,0,1,4,1,1,0,1,1,0,1,0,1,1,0
1,0,0,2,2,2,0,1,3,0,1,0,2,2,2
0,0,1,1,1,2,0,1,2,0,1,0,1,2,4
0,0,1,4,3,1,0,2,1,0,1,1,1,4,8
0,0,1,4,4,3,0,1,3,0,1,1,1,1,4
0,0,1,0,1,0,0,1,2,2,0,0,1,1,0
1,1,0,1,3,2,0,2,1,0,1,0,3,3,2
0,1,1,3,4,2,3,1,2,0,1,1,1,4,9
1,1,1,3,3,1,0,2,2,1,1,1,2,3,4
0,0,1,2,2,2,0,1,2,0,1,1,1,2,12
0,1,1,2,1,2,0,1,2,0,1,1,1,2,0
1,1,1,1,1,2,1,2,1,0,1,1,1,2,2
0,0,1,3,3,2,3,2,2,0,1,1,1,1,0
1,1,0,1,2,2,0,3,2,0,1,0,1,3,11
1,1,0,1,1,2,0,2,1,0,1,1,1,3,0
1,0,0,2,2,2,2,2,1,1,0,1,1,1,0
0,0,1,2,4,2,0,2,2,0,1,1,1,2,2
0,1,1,3,4,2,1,1,2,0,1,1,1,1,0
1,0,0,2,2,2,0,2,2,0,1,1,1,1,0
0,1,1,2,1,0,0,1,1,1,1,0,3,5,6
0,0,0,4,2,2,0,1,3,0,1,1,1,3,2
1,0,1,3,3,3,0,1,2,0,1,0,1,1,0
1,1,1,3,4,3,2,1,2,1,1,1,3,4,8
0,1,1,4,4,3,2,1,3,0,1,1,1,1,0
1,0,1,1,1,2,0,2,2,0,1,0,1,1,6
0,0,1,4,2,3,0,1,2,0,1,1,1,1,2
0,1,1,4,2,4,1,1,2,0,1,0,2,2,4
1,1,0,1,1,2,1,3,1,1,1,1,3,3,4
1,0,1,4,4,1,0,1,2,0,1,1,1,1,0
0,0,1,4,4,1,2,1,3,0,1,1,1,1,2
1,1,0,1,1,0,0,2,1,0,1,1,2,4,0
1,0,1,2,2,2,0,2,3,0,1,0,1,1,0
0,0,0,3,1,2,3,1,2,0,1,1,1,1,4
1,0,1,1,1,0,2,2,1,1,0,0,2,3,0
0,1,1,4,0,4,0,2,4,0,1,1,1,1,0
0,0,0,4,3,4,3,2,3,0,1,1,1,1,0
0,0,1,3,3,3,1,1,2,0,1,0,2,3,24
1,0,1,4,4,3,2,2,1,0,1,0,1,2,1
0,0,1,1,1,2,0,3,3,0,0,0,4,3,12
1,1,1,3,2,0,0,2,1,3,1,0,1,1,4
0,1,1,2,2,2,1,1,2,0,1,1,1,1,0
0,0,1,4,2,2,3,2,3,0,1,1,1,1,0
0,0,1,3,3,2,1,1,2,0,1,1,3,3,16
0,1,1,3,2,3,0,1,1,3,1,1,2,4,2
0,1,1,3,3,2,3,1,2,0,1,1,1,4,4
0,1,0,3,2,0,1,1,1,0,1,0,2,2,0
0,1,0,2,2,3,0,4,1,0,1,1,5,5,2
0,1,0,3,3,2,0,1,2,0,1,1,1,3,8
0,0,1,4,4,0,0,2,2,0,1,0,1,1,4
0,0,0,4,4,1,2,1,2,0,1,0,2,3,0
1,1,1,1,1,2,2,1,2,2,0,1,3,4,2
1,0,1,1,1,0,0,1,2,0,1,0,2,1,0
0,0,1,2,1,2,0,1,2,0,1,0,1,1,0
1,1,1,2,1,0,0,2,1,0,1,1,2,3,4
1,0,0,1,1,0,0,2,2,3,0,0,1,4,0
0,0,1,3,3,3,1,1,2,0,1,1,1,1,0
1,1,0,4,2,2,1,2,1,1,1,0,4,3,0
0,1,1,4,3,4,0,1,1,0,1,1,1,1,7
0,1,0,4,3,3,3,2,1,0,1,1,1,1,6
1,0,1,0,1,2,0,2,1,0,1,0,3,5,5
0,0,1,2,1,2,2,1,2,0,1,1,1,1,2
1,0,0,1,2,0,0,1,2,0,0,1,1,3,0
1,1,1,3,1,2,1,2,1,0,1,0,1,3,0
0,0,1,3,1,2,1,1,1,1,1,1,1,1,6
0,0,1,4,4,4,3,1,2,0,1,1,1,2,2
1,1,0,1,2,0,2,3,1,0,0,1,2,3,3
0,0,1,2,2,0,1,1,3,0,1,1,1,1,0
0,0,1,2,3,2,3,1,2,0,1,0,1,3,4
0,0,1,1,1,2,1,2,2,0,1,0,1,1,2
0,0,1,2,2,3,0,1,4,0,1,1,1,1,2
0,1,1,2,2,2,1,1,1,0,1,1,1,2,8
1,0,0,2,2,2,1,3,1,0,1,0,1,1,0
0,1,1,3,4,2,0,3,1,1,1,1,2,4,4
0,1,1,2,2,2,1,2,2,3,1,1,5,5,9
0,1,1,2,2,3,3,2,2,0,1,1,1,1,6
0,0,1,2,2,3,3,2,2,0,1,1,1,3,10
0,0,1,3,2,3,1,1,2,0,1,1,1,2,4
1,0,1,4,4,0,0,1,2,0,1,1,1,1,4
0,1,0,4,4,4,0,2,2,0,1,1,2,3,0
0,0,0,3,4,3,0,1,3,0,1,1,1,1,2
0,1,1,2,2,3,3,2,1,0,1,1,2,2,4
0,0,1,3,4,0,0,1,2,0,1,1,1,2,14
0,1,1,2,3,3,3,1,2,0,1,1,1,3,0
1,0,0,2,2,1,0,1,2,0,1,0,1,1,2
1,0,1,4,2,4,1,1,2,0,1,1,1,3,0
0,0,1,4,4,1,1,1,2,0,1,1,1,1,0
0,1,0,2,1,0,0,2,1,1,0,1,2,2,8
1,0,0,4,2,2,0,2,2,0,1,1,2,3,0
0,0,0,2,4,3,0,1,3,0,1,1,1,1,2
0,1,1,4,4,4,0,1,1,0,0,1,2,1,16
1,1,0,2,1,2,2,3,1,0,0,0,5,5,8
0,0,1,2,2,2,1,1,2,0,1,1,1,1,0
1,0,1,3,1,4,0,1,2,0,1,1,1,1,4
0,1,1,3,4,2,3,1,1,0,1,1,1,2,2
1,0,0,1,1,3,1,1,1,0,1,1,2,2,2
0,0,0,1,4,2,0,4,1,1,1,1,1,1,14
0,0,1,4,2,4,0,1,2,0,1,0,1,1,4
0,1,1,1,2,2,1,1,2,0,1,1,1,1,0
0,0,1,2,1,3,3,1,2,0,1,1,2,4,4
0,1,0,2,3,0,0,1,2,0,1,0,1,1,0
0,1,1,2,3,2,1,1,3,0,1,1,1,2,2
1,1,1,1,1,0,1,2,2,0,1,0,4,5,0
1,1,0,1,1,2,1,3,2,1,1,1,3,3,8
0,0,1,2,2,2,3,1,2,0,1,1,1,1,0
1,1,0,4,1,1,3,1,2,0,1,1,1,2,0
1,0,1,2,4,2,3,1,2,1,1,1,1,3,8
0,0,1,4,3,4,2,1,2,0,1,1,1,1,4
1,1,0,1,2,0,3,1,1,0,1,1,5,5,4
1,1,0,1,1,2,0,2,1,1,0,1,2,4,12
1,1,0,4,4,0,1,1,2,0,1,0,1,3,5
0,1,0,1,1,2,1,2,3,0,1,1,1,1,2
1,0,1,2,2,2,1,1,1,0,0,0,1,2,6
1,0,0,1,1,2,2,1,1,1,0,1,2,2,0
0,1,1,2,2,3,1,2,2,0,1,1,1,3,2
0,0,1,3,1,2,1,1,2,0,1,0,2,3,0
0,1,1,4,3,4,0,1,2,0,1,1,1,1,2
0,1,1,4,3,1,1,1,1,0,1,1,1,3,6
0,0,1,3,3,2,1,1,2,0,1,1,1,4,6
0,1,1,1,0,2,3,2,2,0,1,1,1,1,0
0,1,1,2,2,3,1,1,2,0,1,1,2,4,10
1,0,0,2,3,0,0,2,2,0,1,0,1,2,0
0,0,1,1,1,3,3,1,3,0,1,1,1,1,0
1,0,0,2,2,2,2,1,3,0,1,0,2,2,2
0,0,1,4,4,1,1,1,1,0,1,1,1,2,6
0,1,1,3,3,3,1,1,2,0,1,1,2,4,10
0,0,1,3,2,2,2,1,3,0,1,1,2,3,4
0,1,0,1,2,0,1,1,2,0,1,0,2,2,2
1,1,0,2,1,2,2,2,1,0,1,1,1,3,0
0,1,1,2,3,2,0,2,1,0,1,1,1,1,2
